,Steam,Team,Name,ppR,GP,Rating,K/R,ADR,KAST,ODR,Impact,CT #,T #,ADP,UD,EF,F_Assists,Util,HS,awp/R,multi/R,clutch/R,SuppR,SuppXr,oda/R,entries/R,trades/R,TRatio,saves/R,SRate,2k,3k,4k,5k,1v1,1v2,1v3,1v4,1v5,Rounds,,Peak,Pit,Form,CONCY,Kills,Assists,Deaths,MIP/r,IWR,KPA,RWK,Xdiff,ea/R,ATD,ctADP,tADP,EF/F,Blind/EF,X/nade,AWP/ctr,K/ctr,lurks/tR,wlp/L,Tier,MMR
,sid76561198828014242,Hawks,Bottom_Frag,SUPPORT,6,1.01,0.72,69,0.81,0.47,0.94,1.05,0.97,2.8,219,17,1.8,54,29,0.01,0.23,0.03,0.19,14,0.13,0.02,0.12,0.25,0.03,0.46,23,4,1,0,3,1,0,0,0,146,,1.21,0.67,1.09,0.18,105,26,79,0.08,0.73,1.11,0.49,4,0.14,25,3.1,2.8,0.84,3.3,16,0.00,0.77,0.05,1.05,Prospect,300
,sid76561198089224959,Tanukis,Tugglebub,SUPPORT,4,1.01,0.71,71,0.81,0.62,0.95,0.98,1.03,1.9,81,14,2.6,57,56,0.00,0.19,0.01,0.19,12,0.23,0.03,0.12,0.25,0.00,0.41,11,2,1,0,1,0,0,0,0,93,,1.30,0.66,1.03,0.23,66,19,55,0.08,0.68,1.18,0.52,2,0.18,26,1.9,2.0,0.61,3.1,9,0.00,0.73,0.00,,Prospect,300
,sid76561198398277104,Ronin,Hektor,RIFLER,6,1.00,0.69,73,0.70,0.50,0.98,1.08,0.91,2.6,56,10,0.8,36,36,0.00,0.21,0.01,0.17,11,0.19,0.03,0.11,0.16,0.05,0.35,14,7,1,0,1,0,0,0,0,150,,1.45,0.68,1.02,0.26,103,24,98,0.09,0.71,1.18,0.48,-3,0.13,33,2.7,2.5,0.76,3.4,2,0.00,0.76,0.13,0.48,Prospect,300
,sid76561197990513758,Ronin,Berzerk,RIFLER,5,0.98,0.66,72,0.71,0.57,0.97,0.84,1.13,2.8,140,8,0.7,51,37,0.00,0.21,0.03,0.22,15,0.16,0.06,0.08,0.11,0.02,0.30,17,5,0,0,0,2,0,0,0,130,,1.42,0.80,1.06,0.22,86,28,91,0.08,0.60,1.23,0.45,-6,0.16,39,2.7,3.1,0.64,3.3,11,0.00,0.58,0.07,0.88,Prospect,300
,sid76561198338548433,Mathematicians,sletong,RIFLER,6,0.97,0.64,72,0.66,0.46,0.98,1.02,0.94,2.5,68,5,0.0,34,45,0.00,0.18,0.00,0.12,12,0.19,0.03,0.09,0.14,0.05,0.25,14,2,2,0,0,0,0,0,0,137,,1.28,0.63,0.79,0.20,88,19,103,0.07,0.60,1.15,0.47,-9,0.23,35,2.5,2.6,0.45,3.3,15,0.00,0.70,0.09,0.52,Prospect,300
,sid76561199032964031,Barbarians,DeathHawkeJr.,RIFLER,6,0.96,0.63,73,0.70,0.38,0.92,0.93,1.03,2.5,169,2,0.0,39,37,0.03,0.18,0.01,0.18,17,0.18,0.03,0.09,0.15,0.02,0.33,20,2,2,0,1,0,0,0,0,163,,1.33,0.48,1.22,0.29,102,33,110,0.07,0.64,1.19,0.44,-1,0.16,35,2.4,2.5,0.41,2.9,8,0.00,0.63,0.04,1.55,Prospect,300
,sid76561198171751530,Spaghets,Skimix,AWPER,5,0.95,0.63,71,0.61,0.47,1.00,1.09,0.84,2.7,62,14,0.8,41,20,0.37,0.22,0.06,0.14,11,0.25,0.02,0.11,0.14,0.02,0.26,17,3,1,1,2,2,1,0,0,142,,1.46,0.64,0.73,0.29,90,25,105,0.10,0.68,1.19,0.42,-8,0.19,36,2.5,2.7,0.79,3.7,6,0.59,0.78,0.01,0.84,Prospect,300
,sid76561198159372909,Ronin,LilGeneral,SUPPORT,6,0.94,0.65,70,0.67,0.38,0.93,0.98,0.89,2.7,180,13,1.8,63,43,0.02,0.19,0.01,0.17,15,0.16,0.04,0.14,0.16,0.01,0.28,21,2,1,0,2,0,0,0,0,150,,1.36,0.66,0.78,0.22,97,28,108,0.08,0.70,1.16,0.46,-7,0.21,38,2.6,2.7,0.45,3.2,10,0.00,0.69,0.04,0.62,Prospect,300
,sid76561198119006827,Caracals,Ledbone,SUPPORT,6,0.93,0.62,68,0.71,0.41,0.92,0.86,1.00,2.7,95,15,2.5,49,41,0.00,0.14,0.03,0.19,13,0.18,0.03,0.09,0.19,0.01,0.34,18,2,0,0,0,2,0,0,0,154,,1.13,0.68,0.91,0.17,95,29,102,0.07,0.69,1.18,0.47,-8,0.21,34,2.6,2.8,0.79,3.6,10,0.00,0.61,0.09,1.71,Prospect,300
,sid76561198169933878,Mathematicians,b0rt,RIFLER,6,0.93,0.60,76,0.63,0.50,0.90,1.11,0.77,2.2,141,14,0.7,52,20,0.02,0.18,0.01,0.18,18,0.25,0.04,0.04,0.14,0.02,0.23,16,4,0,0,2,0,0,0,0,137,,1.57,0.28,0.62,0.39,82,29,106,0.08,0.47,1.19,0.42,-5,0.23,35,2.3,2.5,0.62,2.9,13,0.01,0.73,0.08,0.72,Prospect,300
,sid76561198002008838,Barbarians,squirt,AWPER,4,0.93,0.62,62,0.66,0.52,0.93,1.06,0.84,2.8,29,2,0.0,11,30,0.31,0.17,0.03,0.10,9,0.23,0.03,0.10,0.14,0.05,0.40,16,2,0,0,1,1,0,0,0,115,,1.19,0.78,0.95,0.15,71,11,69,0.09,0.68,1.17,0.44,-4,0.17,36,2.7,2.9,0.57,3.9,5,0.47,0.78,0.23,0.33,Prospect,300
,sid76561197973664468,Team Flash,Cluuless,RIFLER,5,0.93,0.62,64,0.66,0.37,0.97,0.96,0.89,2.9,91,7,0.2,41,27,0.00,0.17,0.08,0.08,9,0.15,0.02,0.16,0.18,0.04,0.28,14,4,0,0,3,2,1,0,0,127,,1.06,0.74,0.85,0.13,79,9,91,0.08,0.59,1.23,0.45,-13,0.12,35,2.5,3.1,0.61,3.0,15,0.00,0.69,0.12,0.00,Prospect,300
,sid76561198172020837,Caracals,Brodog,RIFLER,5,0.92,0.63,69,0.68,0.44,0.88,1.16,0.67,2.8,185,3,0.0,36,24,0.04,0.21,0.02,0.13,13,0.14,0.00,0.10,0.17,0.02,0.30,13,2,3,0,1,1,0,0,0,125,,1.17,0.60,0.85,0.19,79,15,88,0.08,0.60,1.10,0.42,-10,0.11,36,2.7,2.9,0.54,3.6,11,0.06,0.85,0.00,,Prospect,300
,sid76561198001719720,Team Flash,doritto,RIFLER,6,0.90,0.57,70,0.57,0.38,0.99,1.17,0.73,2.6,38,5,0.7,22,34,0.02,0.19,0.00,0.15,14,0.25,0.02,0.09,0.14,0.01,0.13,13,2,3,0,0,0,0,0,0,138,,1.78,0.51,1.08,0.40,79,21,120,0.08,0.55,1.23,0.38,-20,0.22,41,2.7,2.7,0.57,3.4,10,0.05,0.73,0.03,0.00,Prospect,300
,sid76561198056774353,Caracals,NightFury,ENTRY,6,0.89,0.59,68,0.70,0.42,0.89,0.99,0.79,2.3,94,0,0.0,22,41,0.00,0.12,0.00,0.19,17,0.25,0.05,0.11,0.16,0.00,0.21,14,2,0,0,0,0,0,0,0,154,,1.06,0.72,0.88,0.12,91,28,122,0.05,0.64,1.22,0.47,-16,0.27,36,2.2,2.3,0.29,3.0,10,0.00,0.70,0.04,1.34,Prospect,300
,sid76561198061593991,Team Flash,CColumbus,SUPPORT,4,0.89,0.62,65,0.63,0.32,0.92,1.00,0.86,2.8,109,13,2.8,41,34,0.11,0.16,0.00,0.19,10,0.23,0.04,0.11,0.20,0.01,0.14,11,2,0,0,0,0,0,0,0,95,,1.04,0.60,0.84,0.17,59,19,82,0.06,0.49,1.21,0.46,-27,0.20,44,2.9,2.8,0.68,3.3,11,0.23,0.71,0.08,0.51,Prospect,300
,sid76561198065601793,Spaghets,Milos,LURKER,4,0.88,0.61,66,0.62,0.27,0.89,0.93,0.85,2.3,23,5,0.5,41,39,0.00,0.19,0.07,0.12,12,0.23,0.03,0.11,0.23,0.00,0.24,13,3,1,0,1,2,1,0,0,113,,1.62,0.72,1.03,0.38,69,13,86,0.09,0.78,1.22,0.42,-16,0.25,36,2.6,2.2,0.43,3.3,0,0.00,0.62,0.20,0.42,Prospect,300
,sid76561198076654071,Spaghets,abefroman,RIFLER,5,0.86,0.58,63,0.71,0.31,0.83,0.96,0.81,2.5,51,5,0.5,44,35,0.00,0.17,0.02,0.12,12,0.20,0.05,0.12,0.27,0.03,0.25,12,5,0,0,0,1,0,0,0,133,,1.12,0.40,0.85,0.25,77,17,100,0.08,0.60,1.20,0.41,-18,0.22,36,2.3,2.6,0.84,3.1,1,0.00,0.67,0.01,2.63,Prospect,300
,sid76561198240723254,Barbarians,hrtwrm,RIFLER,6,0.84,0.53,59,0.71,0.57,0.80,0.83,0.87,2.4,65,9,0.6,48,31,0.04,0.11,0.01,0.16,15,0.18,0.05,0.10,0.14,0.05,0.35,18,0,0,0,0,1,0,0,0,163,,1.04,0.61,0.73,0.14,87,29,106,0.04,0.57,1.21,0.42,-13,0.24,34,2.6,2.3,0.60,3.2,16,0.09,0.58,0.04,0.00,Prospect,300
,sid76561198070167973,FA,Tsumarai,RIFLER,4,0.78,0.54,58,0.51,0.27,0.82,0.82,0.77,2.5,17,4,0.0,22,29,0.01,0.19,0.05,0.14,12,0.19,0.01,0.10,0.10,0.00,0.12,11,2,0,0,0,2,0,0,0,78,,1.19,0.63,0.71,0.21,42,10,69,0.04,0.55,1.12,0.35,-33,0.15,38,2.2,2.4,0.52,3.3,3,0.02,0.53,0.00,,Prospect,300
,sid76561198261356632,Team Flash,Wukaka,RIFLER,4,0.75,0.48,63,0.50,0.38,0.73,0.66,0.84,3.3,30,10,0.3,36,56,0.08,0.15,0.03,0.14,12,0.14,0.02,0.10,0.10,0.02,0.15,7,2,1,0,1,1,0,0,0,93,,1.06,0.38,0.62,0.29,45,16,79,0.05,0.35,1.22,0.33,-27,0.08,46,3.3,3.3,0.60,3.5,4,0.04,0.40,0.04,1.36,Prospect,300
,sid76561197983849328,FA,TwiztedAgony,-,2,0.75,0.47,54,0.76,0.40,0.64,0.62,1.02,2.2,204,5,0.0,46,19,0.00,0.16,0.00,0.18,14,0.11,0.00,0.09,0.29,0.02,0.38,3,2,0,0,0,0,0,0,0,45,,0.89,0.63,0.76,0.13,21,8,28,0.07,0.70,1.09,0.31,-16,0.07,32,2.4,2.2,0.39,2.6,13,0.00,0.40,0.00,,Prospect,300
,sid76561198968066389,FA,ukcats,RIFLER,6,0.71,0.45,56,0.59,0.40,0.68,0.75,0.66,2.8,70,14,0.0,44,48,0.01,0.08,0.02,0.10,10,0.12,0.03,0.06,0.15,0.03,0.26,11,1,0,0,3,0,0,0,0,162,,0.99,0.42,0.69,0.20,73,15,120,0.04,0.65,1.17,0.37,-24,0.13,40,2.6,3.0,0.70,3.4,0,0.03,0.50,0.11,1.07,Prospect,300
,sid76561197960643854,FA,akeljo,SUPPORT,4,0.67,0.37,54,0.52,0.22,0.73,0.68,0.68,2.6,74,5,1.3,28,32,0.08,0.10,0.07,0.19,17,0.20,0.01,0.07,0.12,0.01,0.14,4,1,1,0,2,2,0,0,0,91,,0.92,0.48,0.68,0.16,34,20,78,0.05,0.56,1.22,0.27,-37,0.23,40,2.6,2.6,0.58,3.1,9,0.10,0.42,0.12,1.91,Prospect,300
,sid76561198034423258,Mathematicians,StRicochet,-,2,0.63,0.36,47,0.51,0.00,0.66,0.67,0.65,2.5,244,5,0.7,39,25,0.02,0.09,0.02,0.11,13,0.18,0.00,0.09,0.16,0.02,0.16,2,1,0,0,1,0,0,0,0,45,,0.64,0.62,0.63,0.01,16,5,38,0.04,0.58,1.13,0.27,-42,0.15,40,2.7,2.2,0.50,4.0,20,0.04,0.32,0.10,0.10,Prospect,300
,sid76561199058458611,Mathematicians,tripleman,RIFLER,5,0.59,0.35,40,0.57,0.24,0.55,0.65,0.55,2.9,59,5,0.0,29,38,0.00,0.04,0.00,0.10,7,0.19,0.00,0.05,0.16,0.06,0.26,2,1,0,0,0,0,0,0,0,112,,0.62,0.53,0.57,0.04,39,11,83,0.02,0.49,1.14,0.31,-38,0.15,36,2.7,3.2,0.62,2.6,10,0.00,0.38,0.06,1.50,Prospect,300
,sid76561197997551936,PFA,Torque,-,1,0.57,0.33,47,0.61,0.50,0.51,0.73,0.15,2.8,0,8,1.7,35,17,0.00,0.00,0.00,0.06,5,0.33,0.00,0.11,0.14,0.11,0.22,0,0,0,0,0,0,0,0,0,18,,0.57,0.57,0.57,0.00,6,1,14,0.00,0.11,1.38,0.33,-31,0.33,27,2.9,2.3,0.63,3.2,0,0.00,0.40,0.00,,Prospect,300
,sid76561198979394242,FA,Lm0q,-,1,0.56,0.35,37,0.62,0.00,0.48,0.91,0.35,2.5,20,8,0.0,33,44,0.00,0.12,0.04,0.08,9,0.19,0.00,0.04,0.24,0.04,0.35,1,1,0,0,1,0,0,0,0,26,,0.56,0.56,0.56,0.00,9,2,17,0.04,0.77,1.12,0.23,-34,0.13,27,2.7,2.4,0.64,3.1,5,0.00,0.64,0.07,0.06,Prospect,300
